run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Ahmedabad,Google,Google - PMAX,SPEND,12470.28,123361.78,370905.78,109462.99,-11.3,364876.63,86321.24,75963.01
2026-04-09,Ahmedabad,Google,Google - PMAX,CLICKS,9796,96320,384085,80065,-16.9,266883,63532,43951
2026-04-09,Ahmedabad,Google,Google - PMAX,CPC,1.27,1.28,0.97,1.37,,,1.36,1.73
2026-04-09,Ahmedabad,Google,Google - UACi,SPEND,5973.6,59710.5,186378.59,63079.68,5.6,210265.6,49708.67,41133.29
2026-04-09,Ahmedabad,Google,Google - UACi,CLICKS,524,6297,18885,5768,-8.4,19226,4551,4121
2026-04-09,Ahmedabad,Google,Google - UACi,CPC,11.4,9.48,9.87,10.94,,,10.92,9.98
2026-04-09,Ahmedabad,Google,Google - UACe,SPEND,1785.5,18703.86,52779.01,28837.04,54.2,96123.47,24722.84,16920.48
2026-04-09,Ahmedabad,Google,Google - UACe,CLICKS,582,4133,12954,11076,168.0,36920,9875,4414
2026-04-09,Ahmedabad,Google,Google - UACe,CPC,3.07,4.53,4.07,2.6,,,2.5,3.83
2026-04-09,Ahmedabad,Google,Google - Search,SPEND,3357.37,27646.69,105031.23,32879.6,18.9,109598.67,25680.66,26194.97
2026-04-09,Ahmedabad,Google,Google - Search,CLICKS,750,6384,25401,7829,22.6,26096,6060,6197
2026-04-09,Ahmedabad,Google,Google - Search,CPC,4.48,4.33,4.13,4.2,,,4.24,4.23
2026-04-09,Ahmedabad,Google,Google - Total,SPEND,23586.75,229422.83,715094.62,234259.31,2.1,780864.37,186433.4,160211.74
2026-04-09,Ahmedabad,Google,Google - Total,CLICKS,11652,113134,441325,104738,-7.4,349126,84018,58683
2026-04-09,Ahmedabad,Google,Google - Total,CPC,2.02,2.03,1.62,2.24,,,2.22,2.73
2026-04-09,Ahmedabad,Meta,Facebook - Catalog,SPEND,25620.58,154829.15,695108.37,237992.99,53.7,793309.97,184166.08,190893.68
2026-04-09,Ahmedabad,Meta,Facebook - Catalog,CLICKS,7139,39508,170251,62160,57.3,207200,48688,46692
2026-04-09,Ahmedabad,Meta,Facebook - Catalog,CPC,3.59,3.92,4.08,3.83,,,3.78,4.09
2026-04-09,Ahmedabad,Meta,Facebook - Conversion,SPEND,11948.5,72256.12,254309.53,100938.81,39.7,336462.7,82542.97,59009.67
2026-04-09,Ahmedabad,Meta,Facebook - Conversion,CLICKS,1131,6311,22117,9120,44.5,30400,7361,5432
2026-04-09,Ahmedabad,Meta,Facebook - Conversion,CPC,10.56,11.45,11.5,11.07,,,11.21,10.86
2026-04-09,Ahmedabad,Meta,Facebook - Total,SPEND,37569.08,227085.27,949417.9,338931.8,49.3,1129772.67,266709.05,249903.35
2026-04-09,Ahmedabad,Meta,Facebook - Total,CLICKS,8270,45819,192368,71280,55.6,237600,56049,52124
2026-04-09,Ahmedabad,Meta,Facebook - Total,CPC,4.54,4.96,4.94,4.75,,,4.76,4.79
2026-04-09,Bangalore,Google,Google - PMAX,SPEND,64309.16,485113.03,1722744.2,589649.93,21.5,1965499.77,470182.05,580651.36
2026-04-09,Bangalore,Google,Google - PMAX,CLICKS,38986,222043,843427,456204,105.5,1520680,340316,299276
2026-04-09,Bangalore,Google,Google - PMAX,CPC,1.65,2.18,2.04,1.29,,,1.38,1.94
2026-04-09,Bangalore,Google,Google - UACi,SPEND,19582.91,165069.69,569844.71,161680.66,-2.1,538935.53,126687.02,128417.04
2026-04-09,Bangalore,Google,Google - UACi,CLICKS,3229,24795,100130,26769,8.0,89230,21021,25520
2026-04-09,Bangalore,Google,Google - UACi,CPC,6.06,6.66,5.69,6.04,,,6.03,5.03
2026-04-09,Bangalore,Google,Google - UACe,SPEND,25910.35,273728.93,1009062.89,328262.97,19.9,1094209.9,246640.54,295371.25
2026-04-09,Bangalore,Google,Google - UACe,CLICKS,5649,52032,211250,65430,25.7,218100,49105,61275
2026-04-09,Bangalore,Google,Google - UACe,CPC,4.59,5.26,4.78,5.02,,,5.02,4.82
2026-04-09,Bangalore,Google,Google - Search,SPEND,9802.83,73909.47,320357.04,98712.1,33.6,329040.33,76931.39,83041.04
2026-04-09,Bangalore,Google,Google - Search,CLICKS,2025,15172,60500,20295,33.8,67650,16132,14834
2026-04-09,Bangalore,Google,Google - Search,CPC,4.84,4.87,5.3,4.86,,,4.77,5.6
2026-04-09,Bangalore,Google,Google - Total,SPEND,124982.49,1051471.62,3782417.22,1227046.55,16.7,4090155.17,958037.84,1122231.48
2026-04-09,Bangalore,Google,Google - Total,CLICKS,51316,346755,1357638,592123,70.8,1973743,442714,432828
2026-04-09,Bangalore,Google,Google - Total,CPC,2.44,3.03,2.79,2.07,,,2.16,2.59
2026-04-09,Bangalore,Meta,Facebook - Catalog,SPEND,70292.09,481347.68,2112794.61,709688.79,47.4,2365629.3,542348.97,593163.08
2026-04-09,Bangalore,Meta,Facebook - Catalog,CLICKS,14436,82848,438090,144662,74.6,482206,107051,144090
2026-04-09,Bangalore,Meta,Facebook - Catalog,CPC,4.87,5.81,4.82,4.91,,,5.07,4.12
2026-04-09,Bangalore,Meta,Facebook - Conversion,SPEND,27342.5,189743.26,627035.82,230392.11,21.4,767973.7,184177.89,144222.5
2026-04-09,Bangalore,Meta,Facebook - Conversion,CLICKS,2971,12538,46306,21204,69.1,70680,16291,14080
2026-04-09,Bangalore,Meta,Facebook - Conversion,CPC,9.2,15.13,13.54,10.87,,,11.31,10.24
2026-04-09,Bangalore,Meta,Facebook - Total,SPEND,97634.59,671090.94,2739830.43,940080.9,40.1,3133603.0,726526.86,737385.58
2026-04-09,Bangalore,Meta,Facebook - Total,CLICKS,17407,95386,484396,165866,73.9,552886,123342,158170
2026-04-09,Bangalore,Meta,Facebook - Total,CPC,5.61,7.04,5.66,5.67,,,5.89,4.66
2026-04-09,Chandigarh,Google,Google - PMAX,SPEND,6360.09,55332.14,174669.59,54642.25,-1.2,182140.83,43282.91,37073.42
2026-04-09,Chandigarh,Google,Google - PMAX,CLICKS,5430,60364,176189,42850,-29.0,142833,35264,14689
2026-04-09,Chandigarh,Google,Google - PMAX,CPC,1.17,0.92,0.99,1.28,,,1.23,2.52
2026-04-09,Chandigarh,Google,Google - UACi,SPEND,2650.41,23291.11,77388.22,24040.82,3.2,80136.07,19300.63,16343.55
2026-04-09,Chandigarh,Google,Google - UACi,CLICKS,230,2792,8452,2345,-16.0,7816,1818,1785
2026-04-09,Chandigarh,Google,Google - UACi,CPC,11.52,8.34,9.16,10.25,,,10.62,9.16
